2026-01-21 12:44:41.353550: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.959}
2026-01-21 12:44:43.712846: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:44:45.966629: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.919}
2026-01-21 12:44:48.216812: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:44:50.535683: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.959}
2026-01-21 12:44:52.846448: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.979}
2026-01-21 12:44:55.286584: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:44:57.538084: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:44:59.789737: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.959}
2026-01-21 12:45:02.146431: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.939}
2026-01-21 12:45:04.398968: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.979}
2026-01-21 12:45:06.652522: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.959}
2026-01-21 12:45:09.003803: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:45:11.259509: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
2026-01-21 12:45:13.717576: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:45:15.818480: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:45:18.121004: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.979}
2026-01-21 12:45:20.405258: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:45:22.828823: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
2026-01-21 12:45:25.186905: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.979}
2026-01-21 12:45:27.438646: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:45:29.719422: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:45:32.010620: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:45:34.321985: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.979}
2026-01-21 12:45:36.656191: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:45:39.010278: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:45:41.365373: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
